iter	Logloss
0	0.6459588232
1	0.6080827015
2	0.5757342401
3	0.5498318618
4	0.5269982394
5	0.5079216985
6	0.4918001343
7	0.4779583048
8	0.4655489057
9	0.4553412606
10	0.4461788938
11	0.4384254684
12	0.4328361329
13	0.4274939246
14	0.4223036508
15	0.4177485418
16	0.4139235941
17	0.4105457348
18	0.4067583542
19	0.4044060442
20	0.4021819338
21	0.4000702781
22	0.3987642439
23	0.3967675088
24	0.3951030912
25	0.3938451696
26	0.391691199
27	0.3903448535
28	0.3893303559
29	0.3877467193
30	0.3870511366
31	0.3858029333
32	0.3850404032
33	0.3841546187
34	0.3832423593
35	0.3826040726
36	0.3821943008
37	0.3818651132
38	0.3814219292
39	0.3809363233
40	0.3804863586
41	0.3800138891
42	0.3797688085
43	0.3792236259
44	0.3789345863
45	0.3786382954
46	0.3785300892
47	0.3781850782
48	0.3778149889
49	0.3774902228
50	0.3772754191
51	0.3768470951
52	0.3767397189
53	0.3766285066
54	0.3761447509
55	0.3759438033
56	0.3756273346
57	0.375441142
58	0.3752930176
59	0.3750822894
60	0.3749447661
61	0.3747873348
62	0.3746814708
63	0.3746334476
64	0.3740090048
65	0.3739163872
66	0.3737684695
67	0.3736919277
68	0.373423644
69	0.3732505757
70	0.372797096
71	0.3724729312
72	0.3723378154
73	0.3722573501
74	0.3721023418
75	0.3720235781
76	0.3718789517
77	0.3717705213
78	0.3715961687
79	0.3713349631
80	0.3711527281
81	0.3710288411
82	0.3709099352
83	0.3708111337
84	0.3706308293
85	0.3705980122
86	0.3704433806
87	0.3703467352
88	0.3702573793
89	0.3701987012
90	0.3700496289
91	0.3698554328
92	0.369816589
93	0.3697842829
94	0.3697279895
95	0.3696995399
96	0.3694967754
97	0.3693171419
98	0.3690965344
99	0.3689327936
