iter	Passed	Remaining
0	1	175
1	3	174
2	5	177
3	7	190
4	9	175
5	10	158
6	13	174
7	14	167
8	15	159
9	17	153
10	18	147
11	19	142
12	20	139
13	22	136
14	23	132
15	24	129
16	25	125
17	26	122
18	27	118
19	28	115
20	29	111
21	30	108
22	31	105
23	32	102
24	33	99
25	33	96
26	35	96
27	36	94
28	37	92
29	38	90
30	40	89
31	40	86
32	41	84
33	42	82
34	43	80
35	44	78
36	44	76
37	45	74
38	46	72
39	47	70
40	48	69
41	48	67
42	50	66
43	51	65
44	52	64
45	53	63
46	54	61
47	55	60
48	56	58
49	57	57
50	57	55
51	58	54
52	59	52
53	60	51
54	61	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	68	43
61	68	42
62	70	41
63	71	40
64	72	38
65	72	37
66	73	36
67	74	34
68	75	33
69	75	32
70	76	31
71	77	30
72	78	28
73	78	27
74	80	26
75	82	25
76	83	24
77	83	23
78	85	22
79	86	21
80	87	20
81	87	19
82	88	18
83	89	17
84	90	15
85	90	14
86	91	13
87	92	12
88	93	11
89	93	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	101	4
96	101	3
97	102	2
98	103	1
99	104	0
